3400780668618148836	750	6899280	1765	50	0
3400780668618148919	210	4764120	1370	50	0
3400780668618149095	25	360	5	50	0
3400780668618149485	610	5322840	1480	100	0
3401062143594859705	1360	17388000	3227	70	75
3401062143594860026	1370	16118400	3155	50	0
3401343618571570164	540	5617200	1535	50	0
3401343618571570743	1335	16118400	3155	50	0
3401343618571570908	1182	22392960	2724	150	105
3410069342849599583	450	6817200	1535	70	0
3410069342849599680	1090	14507000	2755	100	75
3410069342849600672	850	9568440	2205	50	0
3410350817826310401	615	5955000	1638	50	75
3410350817826310623	0	0	0	50	0
3410350817826310825	0	0	0	50	0
3410350817826311239	625	10446680	1825	100	0
3410913767779731472	450	4764120	1370	50	0
3410913767779731777	1350	27876320	3204	100	75
3410913767779731909	585	5617200	1535	50	0
3410913767779732322	560	6817200	1535	70	0
3410913767779732333	450	7444520	1270	100	0
3410913767779732377	95	351240	245	50	0
3411195242756442479	625	9437120	1645	100	0
3411195242756442777	445	1469760	765	100	0
3421891291871447258	850	6562920	1705	50	0
3421891291871447851	1164	21198960	2744	70	75
3421891291871448101	535	4764120	1370	50	0
3431179966102898713	1347	25866120	3194	70	75
3431179966102898717	1182	21193320	2729	70	75
3431179966102899057	0	0	0	50	0
3431179966102899226	345	3108960	1030	50	0
3431179966102899236	1188	10646760	2164	50	75
3431179966102899271	0	0	0	50	0
3431461441079609355	1120	142200	154	50	75
3431461441079609362	0	0	0	50	0
3431742916056319985	1236	22707120	2976	50	75
3431742916056320079	1110	17318400	3155	70	75
3431742916056320570	520	4764120	1370	50	0
3432024391033030679	1350	24641520	3144	50	75
3432305866009742519	530	4505520	1340	100	0
3432868815963163579	970	11196480	2270	70	0
3432868815963163584	850	9555840	2010	70	0
3432868815963163588	1285	12320760	2620	50	0
3432868815963163589	650	7121880	1590	70	0
3432868815963163599	450	4499520	1320	50	0
3432868815963163613	1060	12833880	2725	100	0
3432868815963164224	485	4244520	1270	50	0
3433150290939874245	270	1734000	695	50	0
3433150290939874563	625	2532600	895	100	0
3433150290939874566	1350	24641520	3144	100	75
3442438965171324894	1020	19992960	2724	50	75
3442438965171324956	745	8099280	1765	70	0
3442720440148035538	1110	19992960	2724	50	75
3442720440148035591	495	7444520	1270	100	0
3442720440148035863	1350	25841520	3144	70	75
3442720440148036611	1020	19504800	2568	70	75
3443001915124746209	864	14493360	2190	50	75
3443001915124746229	525	5322840	1480	50	0
3443283390101456873	70	1118520	520	50	0
3443283390101456892	1135	21194160	2734	70	75
3443283390101456905	615	5322840	1480	50	0
3443283390101456914	739	7445760	1791	50	75
3443283390101457638	0	6000	20	50	0
3443283390101457747	450	0	0	50	0
3443283390101457887	185	2318520	520	70	0
3443564865078167515	25	0	0	50	0
3443564865078168581	1099	10640160	2620	50	75
3443846340054879878	900	11353560	2480	50	0
4371587863293201522	0	0	0	50	0
4371869338269912015	145	2030160	775	50	0
4371869338269912235	340	2030160	775	50	0
4371869338269912637	585	5617200	1535	50	0
4383691287291759118	570	6562920	1705	50	0
4383691287291759157	520	5322840	1480	50	0
4384817187198601180	540	9528240	1644	50	75
4384817187198601189	295	1791720	345	70	0
4384817187198601219	450	5617200	1535	50	0
4384817187198601243	0	0	0	50	0
4384817187198601252	70	80520	100	50	0
4384817187198601289	70	1551240	245	70	0
4384817187198601479	540	6562920	1705	50	0
4384817187198601558	585	5617200	1535	50	0
4385098662175311946	345	3108960	1030	50	0
4385098662175312172	625	8817200	1535	100	0
4385098662175312295	500	8099280	1765	70	0
4385380137152022560	675	7246680	1825	50	0
4385380137152023026	530	5322840	1480	50	0
4398327986080713663	555	6817200	1535	70	0
4398327986080713700	490	6238560	1425	70	0
4398609461057424450	1134	22392960	2724	50	105
4398609461057424683	185	3551240	245	100	0
4399172411010845627	450	6817200	1535	70	0
4399172411010845891	485	4244520	1270	50	0
4399172411010846080	0	0	0	50	0
4399172411010846200	625	7246680	1825	50	0
4399453885987556585	525	1234800	60	70	0
4399453885987556920	490	5444520	1270	70	0
4399735360964267022	450	6817200	1535	70	0
4399735360964267148	75	303120	225	50	0
